sample-id	forward-absolute-filepath	reverse-absolute-filepath	Don	Replicate	sample_date	sample_time	Total_Lobsters_ren	Total_Lobsters	PAV_count	EstimatedBiomass	Lat	Long	site_type	nBlocks	group
P1546_36_RS062024_8_1_16S_M_S36_L001	/scratch/16S-M/Data/fastp/P1546_36_RS062024_8_1_16S_M_S36_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_36_RS062024_8_1_16S_M_S36_L001_R2_fastp.fastq.gz	1	8_1	6_26_2024	11:41	1	1	0	28.5	24.77395	-80.95152	Block	12	north
P1546_12_RS062024_8_3_16S_M_S12_L001	/scratch/16S-M/Data/fastp/P1546_12_RS062024_8_3_16S_M_S12_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_12_RS062024_8_3_16S_M_S12_L001_R2_fastp.fastq.gz	1	8_3	6_26_2024	11:41	1	1	0	28.5	24.77395	-80.95152	Block	12	north
P1546_29_RS062024_8_2_16S_M_S29_L001	/scratch/16S-M/Data/fastp/P1546_29_RS062024_8_2_16S_M_S29_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_29_RS062024_8_2_16S_M_S29_L001_R2_fastp.fastq.gz	1	8_2	6_26_2024	11:41	1	1	0	28.5	24.77395	-80.95152	Block	12	north
P1546_37_RS062024_9_3_16S_M_S37_L001	/scratch/16S-M/Data/fastp/P1546_37_RS062024_9_3_16S_M_S37_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_37_RS062024_9_3_16S_M_S37_L001_R2_fastp.fastq.gz	2	9_3	6_26_2024	12:54	25	23	1	829.29	24.79243	-80.9515	Block	50	north
P1546_4_RS062024_9_1_16S_M_S4_L001	/scratch/16S-M/Data/fastp/P1546_4_RS062024_9_1_16S_M_S4_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_4_RS062024_9_1_16S_M_S4_L001_R2_fastp.fastq.gz	2	9_1	6_26_2024	12:54	25	23	1	829.29	24.79243	-80.9515	Block	50	north
P1546_34_RS062024_9_2_16S_M_S34_L001	/scratch/16S-M/Data/fastp/P1546_34_RS062024_9_2_16S_M_S34_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_34_RS062024_9_2_16S_M_S34_L001_R2_fastp.fastq.gz	2	9_2	6_26_2024	12:54	25	23	1	829.29	24.79243	-80.9515	Block	50	north
P1546_8_RS062024_11_3_16S_M_S8_L001	/scratch/16S-M/Data/fastp/P1546_8_RS062024_11_3_16S_M_S8_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_8_RS062024_11_3_16S_M_S8_L001_R2_fastp.fastq.gz	5	11_3	6_27_2024	12:16	27	20	0	1144.53	24.75017	-80.99592	Block	25	north
P1546_10_RS062024_11_1_16S_M_S10_L001	/scratch/16S-M/Data/fastp/P1546_10_RS062024_11_1_16S_M_S10_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_10_RS062024_11_1_16S_M_S10_L001_R2_fastp.fastq.gz	5	11_1	6_27_2024	12:16	27	20	0	1144.53	24.75017	-80.99592	Block	25	north
P1546_14_RS062024_11_2_16S_M_S14_L001	/scratch/16S-M/Data/fastp/P1546_14_RS062024_11_2_16S_M_S14_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_14_RS062024_11_2_16S_M_S14_L001_R2_fastp.fastq.gz	5	11_2	6_27_2024	12:16	27	20	0	1144.53	24.75017	-80.99592	Block	25	north
P1546_38_RS062024_10_3_16S_M_S38_L001	/scratch/16S-M/Data/fastp/P1546_38_RS062024_10_3_16S_M_S38_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_38_RS062024_10_3_16S_M_S38_L001_R2_fastp.fastq.gz	7	10_3	6_27_2024	9:55	10	9	0	323.22	24.786	-80.97443	Block	23	north
P1546_25_RS062024_10_2_16S_M_S25_L001	/scratch/16S-M/Data/fastp/P1546_25_RS062024_10_2_16S_M_S25_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_25_RS062024_10_2_16S_M_S25_L001_R2_fastp.fastq.gz	7	10_2	6_27_2024	9:55	10	9	0	323.22	24.786	-80.97443	Block	23	north
P1546_22_RS062024_10_1_16S_M_S22_L001	/scratch/16S-M/Data/fastp/P1546_22_RS062024_10_1_16S_M_S22_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_22_RS062024_10_1_16S_M_S22_L001_R2_fastp.fastq.gz	7	10_1	6_27_2024	9:55	10	9	0	323.22	24.786	-80.97443	Block	23	north
P1546_5_RS062024_3_3_16S_M_S5_L001	/scratch/16S-M/Data/fastp/P1546_5_RS062024_3_3_16S_M_S5_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_5_RS062024_3_3_16S_M_S5_L001_R2_fastp.fastq.gz	8	3_3	6_25_2024	8:45	3	2	0	81.45	24.852	-80.87	Block	12	north
