site_name,site_id,lat,long,prediction
"   East Key, southern end, Florida Bay",8723752,24.9967,-80.61,Subordinate
"        Plantation Key, Hawk Channel",8723769,24.9733,-80.55,Subordinate
"        Yacht Harbor, Cowpens Anchorage, Plantation Key",8723776,24.965,-80.5683,Subordinate
"        Snake Creek, Hwy. 1 bridge, Windley Key",8723787,24.9517,-80.5883,Subordinate
"        Snake Creek, USCG Station, Plantation Key",8723786,24.9533,-80.5867,Subordinate
"        Whale Harbor, Windley Key, Hawk Channel",8723795,24.94,-80.6083,Subordinate
"        Whale Harbor Channel, Hwy. 1 bridge, Windley Key",8723797,24.9383,-80.61,Subordinate
"        Upper Matecumbe Key, Hawk Channel",8723814,24.915,-80.6317,Subordinate
"        Alligator Reef, Hawk Channel",8723861,24.85,-80.6183,Subordinate
"        Flamingo, Florida Bay",8723644,25.1417,-80.9233,Subordinate
"        Upper Matecumbe Key, west end, Hawk Channel",8723828,24.8967,-80.6583,Subordinate
"        Indian Key, Hawk Channel",8723843,24.8767,-80.6767,Subordinate
"        Shell Key Channel, Florida Bay",8723812,24.9133,-80.66,Subordinate
"        Lignumvitae Key, NE side, Florida Bay",8723824,24.9033,-80.695,Subordinate
"        Lignumvitae Key, west side, Florida Bay",8723825,24.9,-80.705,Subordinate
"        Little Basin, Upper Matecumbe Key, Florida Bay",8723813,24.915,-80.64,Subordinate
"        Shell Key, northwest side, Lignumvitae Basin",8723807,24.9233,-80.6717,Subordinate
"        Islamorada, Upper Matecumbe Key, Florida Bay",8723808,24.925,-80.6317,Subordinate
"        Indian Key Anchorage, Lower Matecumbe Key",8723851,24.8683,-80.7033,Subordinate
"        Matecumbe Bight, Lower Matecumbe Key, Fla. Bay",8723852,24.865,-80.7167,Subordinate
"        Matecumbe Harbor, Lower Matecumbe Key, Fla. Bay",8723862,24.8517,-80.74,Subordinate
"        Channel Two, east, Lower Matecumbe Key, Fla. Bay",8723868,24.845,-80.7483,Subordinate
"        Channel Two, west side, Hawk Channel",8723869,24.8417,-80.7533,Subordinate
"        Channel Five, east side, Hawk Channel",8723874,24.8367,-80.7667,Subordinate
"        Channel Five, west side, Hawk Channel",8723872,24.84,-80.78,Subordinate
"        Jewfish Hole, Long Key, Florida Bay",8723873,24.8383,-80.7983,Subordinate
"        Long Key Bight, Long Key",8723879,24.8283,-80.8083,Subordinate
"        Long Key Lake, Long Key",8723887,24.82,-80.8167,Subordinate
"        Long Key, western end",8723899,24.8033,-80.85,Subordinate
"        Conch Key, eastern end",8723906,24.7917,-80.8833,Subordinate
        Toms Harbor Cut,8723912,24.7833,-80.9067,Subordinate
"        Duck Key, Hawk Channel",8723927,24.765,-80.9133,Subordinate
"        Toms Harbor Channel, Hwy. 1 bridge",8723918,24.7767,-80.9233,Subordinate
